Date Time RTD Vsamp
2020-02-24 16:46:12.669896 1113.2862 0.00194169
2020-02-24 16:46:12.700897 1113.28944 0.00194169
2020-02-24 16:46:12.741900 1113.28944 0.00194169
2020-02-24 16:46:12.785902 1113.28988 0.00194169
2020-02-24 16:46:12.811904 1113.29018 0.00194169
2020-02-24 16:46:12.849906 1113.29084 0.00194169
2020-02-24 16:46:12.892908 1113.2918 0.00194169
2020-02-24 16:46:12.939911 1113.29047 0.00194169
2020-02-24 16:46:12.976913 1113.29136 0.00194169
2020-02-24 16:46:13.007915 1113.29032 0.00194169
2020-02-24 16:46:13.039917 1113.29357 0.00194169
2020-02-24 16:46:13.081919 1113.29231 0.00194169
2020-02-24 16:46:13.130922 1113.29342 0.00194169
2020-02-24 16:46:13.173925 1113.29637 0.00194169
2020-02-24 16:46:13.224927 1113.29887 0.00194169
2020-02-24 16:46:13.272930 1113.30064 0.00194169
2020-02-24 16:46:13.321933 1113.30226 0.00194169
2020-02-24 16:46:13.371936 1113.30617 0.00194169
2020-02-24 16:46:13.418939 1113.30528 0.00194169
2020-02-24 16:46:13.466941 1113.30558 0.00194169
2020-02-24 16:46:13.515944 1113.30573 0.00194169
2020-02-24 16:46:13.563947 1113.30595 0.00194169
2020-02-24 16:46:13.607949 1113.30595 0.00194169
2020-02-24 16:46:13.659952 1113.30727 0.00194169
2020-02-24 16:46:13.708955 1113.30735 0.00194169
2020-02-24 16:46:13.739957 1113.30691 0.00194169
2020-02-24 16:46:13.772959 1113.30897 0.00194169
2020-02-24 16:46:13.816961 1113.30801 0.00194169
2020-02-24 16:46:13.864964 1113.30941 0.00194169
2020-02-24 16:46:13.907967 1113.30904 0.00194169
2020-02-24 16:46:13.956969 1113.31177 0.00194169
2020-02-24 16:46:14.005972 1113.31369 0.00194169
2020-02-24 16:46:14.036974 1113.31339 0.00194169
2020-02-24 16:46:14.064976 1113.31442 0.00194169
2020-02-24 16:46:14.112978 1113.31678 0.00194169
2020-02-24 16:46:14.160981 1113.31715 0.00194169
2020-02-24 16:46:14.210984 1113.31884 0.00194169
2020-02-24 16:46:14.258987 1113.32024 0.00194169
2020-02-24 16:46:14.297989 1113.32231 0.00194169
2020-02-24 16:46:14.350992 1113.32091 0.00194169
2020-02-24 16:46:14.399995 1113.32312 0.00194169
2020-02-24 16:46:14.448997 1113.32371 0.00194169
2020-02-24 16:46:14.481999 1113.32408 0.00194169
2020-02-24 16:46:14.510001 1113.32275 0.00194169
2020-02-24 16:46:14.554003 1113.32223 0.00194169
2020-02-24 16:46:14.601006 1113.32437 0.00194169
2020-02-24 16:46:14.650009 1113.32474 0.00194169
2020-02-24 16:46:14.698012 1113.32386 0.00194169
2020-02-24 16:46:14.746014 1113.32474 0.00194169
2020-02-24 16:46:14.794017 1113.32678 0.00194169
2020-02-24 16:46:14.842020 1113.32742 0.00194169
2020-02-24 16:46:14.890023 1113.33042 0.00194169
2020-02-24 16:46:14.921024 1113.33167 0.00194169
2020-02-24 16:46:14.949026 1113.33254 0.00194169
2020-02-24 16:46:14.997029 1113.33282 0.00194169
2020-02-24 16:46:15.047032 1113.33355 0.00194169
2020-02-24 16:46:15.095034 1113.33554 0.00194169
2020-02-24 16:46:15.126036 1113.33635 0.00194169
2020-02-24 16:46:15.159038 1113.3351 0.00194169
2020-02-24 16:46:15.202041 1113.33384 0.00194169
2020-02-24 16:46:15.246043 1113.33598 0.00194169
2020-02-24 16:46:15.289046 1113.33672 0.00194169
2020-02-24 16:46:15.333048 1113.33738 0.00194169
2020-02-24 16:46:15.372050 1113.3365 0.00194169
2020-02-24 16:46:15.405052 1113.33871 0.00194169
2020-02-24 16:46:15.437054 1113.33878 0.00194169
2020-02-24 16:46:15.480056 1113.34107 0.00194169
2020-02-24 16:46:15.524059 1113.3407 0.00194169
2020-02-24 16:46:15.567061 1113.34232 0.00194169
2020-02-24 16:46:15.614064 1113.34306 0.00194169
2020-02-24 16:46:15.657067 1113.34527 0.00194169
2020-02-24 16:46:15.703069 1113.34748 0.00194169
2020-02-24 16:46:15.745072 1113.34836 0.00194169
2020-02-24 16:46:15.776073 1113.34976 0.00194169
2020-02-24 16:46:15.804075 1113.35094 0.00194169
2020-02-24 16:46:15.852078 1113.35168 0.00194169
2020-02-24 16:46:15.900080 1113.35227 0.00194169
2020-02-24 16:46:15.949083 1113.35227 0.00194169
2020-02-24 16:46:15.997086 1113.35116 0.00194169
2020-02-24 16:46:16.024088 1113.35168 0.00194169
2020-02-24 16:46:16.059090 1113.35124 0.00194169
2020-02-24 16:46:16.102092 1113.35013 0.00194169
2020-02-24 16:46:16.147095 1113.35367 0.00194169
2020-02-24 16:46:16.190097 1113.35514 0.00194169
2020-02-24 16:46:16.230099 1113.35639 0.00194169
2020-02-24 16:46:16.262101 1113.35824 0.00194169
2020-02-24 16:46:16.294103 1113.35765 0.00194169
2020-02-24 16:46:16.335105 1113.3589 0.00194169
2020-02-24 16:46:16.383108 1113.36266 0.00194169
2020-02-24 16:46:16.415110 1113.36295 0.00194169
2020-02-24 16:46:16.448112 1113.36457 0.00194169
2020-02-24 16:46:16.491114 1113.36406 0.00194169
