Date_Time RTD Rsamp
2020-02-26 11:36:33.092799 1110.3378 39.8668869 
2020-02-26 11:36:33.153803 1110.34407 39.8679184 
2020-02-26 11:36:33.214806 1110.35004 39.8685078 
2020-02-26 11:36:33.296811 1110.35888 39.8688762 
2020-02-26 11:36:33.359815 1110.36478 39.8696867 
2020-02-26 11:36:33.427819 1110.37266 39.8710866 
2020-02-26 11:36:33.489822 1110.37944 39.869834 
2020-02-26 11:36:33.577827 1110.38401 39.8690972 
2020-02-26 11:36:33.640831 1110.3947 39.8685078 
2020-02-26 11:36:33.706834 1110.39862 39.8706445 
2020-02-26 11:36:33.772838 1110.40538 39.8704235 
2020-02-26 11:36:33.856843 1110.41111 39.8704235 
2020-02-26 11:36:33.917847 1110.41371 39.8714549 
2020-02-26 11:36:33.984850 1110.42395 39.871897 
2020-02-26 11:36:34.044854 1110.42793 39.8710866 
2020-02-26 11:36:34.126859 1110.43154 39.8694656 
2020-02-26 11:36:34.193862 1110.43928 39.8710866 
2020-02-26 11:36:34.253866 1110.44297 39.8726338 
2020-02-26 11:36:34.320870 1110.44739 39.8735916 
2020-02-26 11:36:34.401874 1110.45748 39.8730759 
2020-02-26 11:36:34.462878 1110.46699 39.8731495 
2020-02-26 11:36:34.529882 1110.47237 39.8717497 
2020-02-26 11:36:34.590885 1110.47864 39.8721917 
2020-02-26 11:36:34.673890 1110.48431 39.87396 
2020-02-26 11:36:34.733893 1110.48837 39.8731495 
2020-02-26 11:36:34.799897 1110.49559 39.8746231 
2020-02-26 11:36:34.865901 1110.50119 39.8744021 
2020-02-26 11:36:34.953906 1110.51026 39.8746214 
2020-02-26 11:36:35.013909 1110.51549 39.8755038 
2020-02-26 11:36:35.074913 1110.52507 39.8749127 
2020-02-26 11:36:35.135916 1110.5303 39.8735847 
2020-02-26 11:36:35.220921 1110.53458 39.8740987 
2020-02-26 11:36:35.284925 1110.5418 39.8735076 
2020-02-26 11:36:35.351929 1110.54961 39.8728428 
2020-02-26 11:36:35.413932 1110.55669 39.8736515 
2020-02-26 11:36:35.500937 1110.56163 39.8737971 
2020-02-26 11:36:35.566941 1110.56907 39.875269 
2020-02-26 11:36:35.632945 1110.57025 39.8748269 
2020-02-26 11:36:35.693948 1110.57607 39.8740164 
2020-02-26 11:36:35.776953 1110.58403 39.8749743 
2020-02-26 11:36:35.836956 1110.58963 39.8765215 
2020-02-26 11:36:35.904960 1110.59863 39.8760058 
2020-02-26 11:36:35.964964 1110.60548 39.8756374 
2020-02-26 11:36:36.046968 1110.6078 39.875269 
2020-02-26 11:36:36.112972 1110.61445 39.8760794 
