Date_Time,RTD,Vsamp1(R1718),Vsamp2(R1516)
2020-02-27 11:19:01.984477,1144.29076,0.00199462,0.00198938
2020-02-27 11:19:02.556509,1144.44833,0.00199486,0.00198938
2020-02-27 11:19:03.128542,1144.6039,0.00199486,0.00198962
2020-02-27 11:19:03.689574,1144.76227,0.0019951,0.00198986
2020-02-27 11:19:04.253607,1144.91336,0.00199534,0.00198986
2020-02-27 11:19:04.817639,1145.06105,0.00199558,0.00199009
2020-02-27 11:19:05.379671,1145.21838,0.00199582,0.00199033
2020-02-27 11:19:05.981705,1145.37683,0.00199582,0.00199033
2020-02-27 11:19:06.537737,1145.5265,0.00199582,0.00199057
2020-02-27 11:19:07.113770,1145.67434,0.00199606,0.00199057
2020-02-27 11:19:07.671802,1145.81908,0.00199629,0.00199081
2020-02-27 11:19:08.221833,1145.96227,0.00199653,0.00199105
2020-02-27 11:19:08.788866,1146.11237,0.00199653,0.00199105
2020-02-27 11:19:09.341898,1146.25217,0.00199677,0.00199129
2020-02-27 11:19:09.896929,1146.38814,0.00199701,0.00199153
2020-02-27 11:19:10.448961,1146.52816,0.00199701,0.00199153
2020-02-27 11:19:11.020994,1146.67142,0.00199725,0.00199176
2020-02-27 11:19:11.598027,1146.80835,0.00199749,0.001992
2020-02-27 11:19:12.183060,1146.95014,0.00199749,0.001992
2020-02-27 11:19:12.761093,1147.08662,0.00199772,0.00199224
2020-02-27 11:19:13.327125,1147.23556,0.00199772,0.00199224
2020-02-27 11:19:13.888158,1147.36151,0.00199796,0.00199248
2020-02-27 11:19:14.461190,1147.49659,0.0019982,0.00199272
2020-02-27 11:19:15.032223,1147.62968,0.0019982,0.00199272
2020-02-27 11:19:15.589255,1147.76233,0.00199844,0.00199296
2020-02-27 11:19:16.150287,1147.89036,0.00199844,0.00199296
2020-02-27 11:19:16.722320,1148.02478,0.00199868,0.00199319
2020-02-27 11:19:17.293352,1148.14454,0.00199868,0.00199319
2020-02-27 11:19:17.852384,1148.28169,0.00199892,0.00199319
2020-02-27 11:19:18.413416,1148.40262,0.00199915,0.00199367
2020-02-27 11:19:18.985449,1148.52584,0.00199915,0.00199367
2020-02-27 11:19:19.556482,1148.6498,0.00199915,0.00199367
2020-02-27 11:19:20.115514,1148.77905,0.00199939,0.00199391
2020-02-27 11:19:20.673546,1148.90059,0.00199963,0.00199391
2020-02-27 11:19:21.244578,1149.01887,0.00199987,0.00199415
2020-02-27 11:19:21.819611,1149.14194,0.00199987,0.00199415
2020-02-27 11:19:22.378643,1149.26398,0.00199987,0.00199415
2020-02-27 11:19:22.932675,1149.37865,0.00200011,0.00199439
2020-02-27 11:19:23.498707,1149.48809,0.00200035,0.00199462
2020-02-27 11:19:24.072740,1149.60467,0.00200035,0.00199486
2020-02-27 11:19:24.631772,1149.72192,0.00200035,0.00199486
2020-02-27 11:19:25.184804,1149.83645,0.00200059,0.00199486
2020-02-27 11:19:25.751836,1149.94618,0.00200059,0.0019951
2020-02-27 11:19:26.308868,1150.06365,0.00200082,0.00199534
2020-02-27 11:19:26.864900,1150.16878,0.00200082,0.00199534
2020-02-27 11:19:27.434932,1150.27686,0.00200106,0.00199534
2020-02-27 11:19:28.008965,1150.38843,0.00200106,0.00199558
2020-02-27 11:19:28.566997,1150.50104,0.0020013,0.00199558
2020-02-27 11:19:29.123029,1150.60254,0.0020013,0.00199582
2020-02-27 11:19:29.682061,1150.70743,0.00200154,0.00199582
2020-02-27 11:19:30.237093,1150.81363,0.00200154,0.00199582
2020-02-27 11:19:30.797125,1150.91466,0.00200154,0.00199606
2020-02-27 11:19:31.358157,1151.02206,0.00200178,0.00199629
2020-02-27 11:19:31.914189,1151.11785,0.00200202,0.00199653
2020-02-27 11:19:32.487221,1151.22581,0.00200202,0.00199653
2020-02-27 11:19:33.044253,1151.32257,0.00200202,0.00199653
2020-02-27 11:19:33.599285,1151.42096,0.00200225,0.00199653
2020-02-27 11:19:34.160317,1151.52708,0.00200225,0.00199653
2020-02-27 11:19:34.731350,1151.62148,0.00200249,0.00199677
2020-02-27 11:19:35.311383,1151.72348,0.00200249,0.00199701
2020-02-27 11:19:35.869415,1151.81228,0.00200249,0.00199701
